"Tema","Propuesta principal","Propuesta específica","secuencia_palabras"
"Medellín es territorio de paz (Sectorial)","Medellín será ejemplo de territorialización de paz.","Consolidar un sistema distrital de justicia restaurativa, reparación territorial y reincorporación en la ciudad, que genere condiciones para garantizar a las víctimas el derecho a la verdad, la justicia y la reparación, así como para la reincorporación de firmantes de paz.","justicia restaurativa, medidas restaurativas, reparación territorial, reincorporaciones firmantes (Sinónimos)"
"Medellín es territorio de paz (Sectorial)","Medellín será ejemplo de territorialización de paz.","Medellín requiere que su ordenamiento territorial incorpore un enfoque de paz, que favorezca la reparación territorial.","reparación territorial"
"Medellín es territorio de paz (Sectorial)","Medellín será ejemplo de territorialización de paz.","Innovar en la reparación de víctimas y la implementación de medidas restaurativas, desde la garantía a la población de los territorios altamente afectados por la violencia y las víctimas del conflicto que habitan en Medellín, el acceso a planes, programas y proyectos integrales de desarrollo urbano, a través de la implementación de políticas y mecanismos como mejoramiento integral barrial, el Plan Estratégico Habitacional de Medellín, la política pública de protección a moradores y la gestión del riesgo de desastres.","reparación víctimas, justicia restaurativa, medidas restaurativas, reparación territorial, mejoramiento integral barrial, mejoramiento integral barrios, renovación barrios río, Plan Estratégico Habitacional, política pública protección moradores, gestión riesgo desastres, mitigación riesgo"
"Medellín es territorio de paz (Sectorial)","Medellín será ejemplo de territorialización de paz.","Medellín necesita vincularse con el programa Barrios de Paz, adscrito en el Plan Nacional de Desarrollo 2022-2026.","Programa Barrios Paz"
"Convivencia, seguridad y cuidado de la vida (Sectorial)","Multidimensionalidad y multi-sectorialidad en la arquitectura institucional, como estrategias para atender los problemas de violencia, convivencia y seguridad. En consecuencia, actuar desde la integración de las distintas secretarías para el diseño, la revisión y la garantía de activación de todas las rutas y mecanismos de protección posibles.","Enfoques de la seguridad desde la perspectiva de género, diversidad sexual, etnoculturalidad, salud pública, entre otras dimensiones. Énfasis en la coordinación entre las secretarías de Inclusión social, mujeres, juventudes y Derechos Humanos, así como la arquitectura institucional relacionada con la justicia restaurativa y su descentralización.","perspectiva género, enfoque género, perspectiva etnoculturalidad, enfoque etnoculturalidad, perspectiva salud pública, enfoque etnoculturalidad, justicia restaurativa, medidas restaurativas"
"Medellín actualiza su planeación y fortalece la participación (Sectorial)","Reparación del daño a víctimas de la corrupción en el presupuesto participativo. Incorporar un enfoque restaurativo y de víctimas para reconocer y superar los daños ocasionados por la corrupción del presupuesto participativo, y los daños ocasionados al derecho a la participación y al debilitamiento de la organización social y comunitaria en las comunas.","Garantía de derecho a la verdad y reconocimiento de responsabilidades por la corrupción en el presupuesto participativo, que lleve al esclarecimiento de los hechos, la identificación de responsables y el establecimiento de los daños causados a los territorios y comunidades","Corrupción, Corrupción presupuesto participativo"
"Medellín actualiza su planeación y fortalece la participación (Sectorial)","Reparación del daño a víctimas de la corrupción en el presupuesto participativo. Incorporar un enfoque restaurativo y de víctimas para reconocer y superar los daños ocasionados por la corrupción del presupuesto participativo, y los daños ocasionados al derecho a la participación y al debilitamiento de la organización social y comunitaria en las comunas.","Generación de una ruta de reparación a las comunidades víctimas de la corrupción y restauración del derecho a la participación ciudadana en el marco del presupuesto participativo.","reparación víctimas corrupción presupuesto participativo, restauración derecho participación ciudadana presupuesto participativo"
"Medellín actualiza su planeación y fortalece la participación (Sectorial)","Reparación del daño a víctimas de la corrupción en el presupuesto participativo. Incorporar un enfoque restaurativo y de víctimas para reconocer y superar los daños ocasionados por la corrupción del presupuesto participativo, y los daños ocasionados al derecho a la participación y al debilitamiento de la organización social y comunitaria en las comunas.","Garantía de no repetición a través del compromiso de la administración municipal de la acción sin daño.","Garantía no repetición presupuesto participativo, acción sin daño presupuesto participativo"
"Territorio y hábitat (Sectorial)","Implementar política de mejoramiento integral de barrios","Mejoramiento integral de barrios, priorizando legalización de predios, mitigación del riesgo, mejoramiento integral de la vivienda con acceso a servicios públicos domiciliarios y mejoramiento del hábitat; para avanzar en garantía, protección y respeto pleno de los derechos a la vivienda y el hábitat. Garantizar seguridad jurídica de la tenencia.","mejoramiento integral barrial, mejoramiento integral barrios, renovación barrios río, legalización de predios, gestión riesgo desastres, mitigación riesgo, mejoramiento integral vivienda, servicios públicos domiciliarios, mejoramiento del hábitat"
"Territorio y hábitat (Sectorial)","Implementar política de mejoramiento integral de barrios","Atender el déficit cuantitativo de vivienda, con programas que realmente permitan el acceso a personas en estratos 1 y 2, atendiendo los principios de gastos soportables y asequibilidad, según la normatividad vigente sobre el derecho a la vivienda digna y adecuada.","Atender déficit cuantitativo de vivienda, acceso vivienda estratos 1 y 2, (sinónimos)"
