"gestión" : 14 veces.
"pública" : 32 veces.
"control" : 2 veces.
"social" : 8 veces.
"corrupción" : 2 veces.
"ciudadana" : 6 veces.
"veeduría" : 1 veces.
"(" : 14 veces.
")" : 14 veces.
"participación" : 5 veces.
"sistema" : 32 veces.
"presupuesto" : 3 veces.
"presupuest" : 1 veces.
"territori" : 12 veces.
"perspectiva" : 1 veces.
"medellín" : 15 veces.
"plan" : 2 veces.
"comunicación" : 1 veces.
"cultura" : 5 veces.
"modelo" : 1 veces.
"comunitaria" : 2 veces.
"educación" : 4 veces.
"política" : 3 veces.
"acceso" : 8 veces.
"escolar" : 4 veces.
"permanencia" : 1 veces.
"trabajo" : 4 veces.
"ruta" : 1 veces.
"entorno" : 1 veces.
"alimentación" : 4 veces.
"servicio" : 40 veces.
"público" : 2 veces.
"salud" : 38 veces.
"distrit" : 3 veces.
"enfoqu" : 2 veces.
"colectiva" : 2 veces.
"cuidado" : 15 veces.
"poblacion" : 3 veces.
"atención" : 8 veces.
"integr" : 6 veces.
"sexual" : 1 veces.
"inspección" : 2 veces.
"riesgo" : 4 veces.
"prevención" : 3 veces.
"dotación" : 2 veces.
"derecho" : 8 veces.
"nacion" : 2 veces.
"protección" : 3 veces.
"garantía" : 1 veces.
"género" : 6 veces.
"equidad" : 1 veces.
"violencia" : 4 veces.
"situación" : 1 veces.
"víctima" : 2 veces.
"paz" : 1 veces.
